,tag
0,totaleimmobilizzazioniimmateriali
2,valoreproduzionealtriricaviproventialtri
3,acquisizionieserciziopartecapitalecorrispondenteazioniproprie
4,totalepatrimonionetto
5,alienazionieserciziovalorenominaleazioniquotesocietacontrollanti
6,costiproduzionematerieprimesussidiarieconsumomerci
7,sindacicompensi
9,patrimonionettocapitale
10,totaledebiti
11,totalecrediti
13,risultatoprimaimposte
14,alienazionieserciziocorrispettivoazioniproprie
15,alienazionieserciziovalorenominaleazioniproprie
16,passivitapotenzialiimporto
18,debitiesigibilientroeserciziosuccessivo
19,acquisizioniesercizionumeroazioniquotesocietacontrollanti
20,azioniquotesocietacontrollantivalorenominale
21,valoreproduzionevariazionirimanenzeprodotticorsolavorazionesemilavoratifiniti
24,costiproduzioneoneridiversigestione
25,impegniconfrontiimpresecontrollanti
26,valoreproduzionevariazionirimanenzeprodotticorsolavorazionesemilavoratifinitilavoricorsoordi
27,sindacicrediti
28,azionipropriepartecapitalecorrispondente
29,patrimonionettoutileperditaesercizio
30,totaleimmobilizzazionimateriali
32,sindaciimpegniassuntilorocontoeffettogaranzieprestate
33,attivorateirisconti
34,totaleattivo
35,totaleattivocircolante
36,valoreproduzionericavivenditeprestazioni
37,acquisizionieserciziocorrispettivoazioniquotesocietacontrollanti
38,totaledisponibilitaliquide
39,azioniquotesocietacontrollantinumero
40,garanziereali
47,amministratoricrediti
48,amministratoricompensi
50,amministratorianticipazioni
51,alienazioniesercizionumeroazioniquotesocietacontrollanti
52,datianagraficicapitalesociale
53,garanzieimporto
54,totalecostiproduzione
56,costiproduzioneservizi
57,valoreproduzionealtriricaviproventitotalealtriricaviproventi
58,acquisizionieserciziovalorenominaleazioniquotesocietacontrollanti
62,totaleimmobilizzazioni
63,utileperditaesercizio
65,amministratoriimpegniassuntilorocontoeffettogaranzieprestate
66,impegnimateriatrattamentoquiescenzasimili
71,totalerimanenze
72,totalevaloreproduzione
73,azioniproprievalorenominale
74,acquisizionieserciziovalorenominaleazioniproprie
75,differenzavalorecostiproduzione
80,azioniquotesocietacontrollantipartecapitalecorrispondente
81,azioniproprienumero
83,creditiesigibilientroeserciziosuccessivo
84,alienazionieserciziopartecapitalecorrispondenteazioniproprie
85,totalecreditiversosociversamentiancoradovuti
86,valoreproduzionealtriricaviproventicontributicontoesercizio
92,impegniimporto
93,impegniconfrontiimpresecollegate
94,acquisizioniesercizionumeroazioniproprie
96,acquisizionieserciziopartecapitalecorrispondenteazioniquotesocietacontrollanti
97,totalepassivo
98,patrimonionettoaltreriservedistintamenteindicatetotalealtreriserve
99,impegniconfrontiimpresecontrollate
102,alienazioniesercizionumeroazioniproprie
103,impegniconfrontiimpresesottopostecontrollocontrollanti
104,acquisizionieserciziocorrispettivoazioniproprie
105,patrimonionettoriservasoprapprezzoazioni
110,alienazionieserciziopartecapitalecorrispondenteazioniquotesocietacontrollanti
111,alienazionieserciziocorrispettivoazioniquotesocietacontrollanti
112,sindacianticipazioni
